"populacao_rank","populacao","codigo_ibge","cidade_nome","cidade_link"
1,12396372,"3550308","São Paulo","https://pt.wikipedia.org/wiki/S%C3%A3o_Paulo"
2,6775561,"3304557","Rio de Janeiro","https://pt.wikipedia.org/wiki/Rio_de_Janeiro"
3,3094325,"5300108","Brasília","https://pt.wikipedia.org/wiki/Bras%C3%ADlia"
4,2900319,"2927408","Salvador","https://pt.wikipedia.org/wiki/Salvador"
5,2703391,"2304400","Fortaleza","https://pt.wikipedia.org/wiki/Fortaleza"
6,2530701,"3106200","Belo Horizonte","https://pt.wikipedia.org/wiki/Belo_Horizonte"
7,2255903,"1302603","Manaus","https://pt.wikipedia.org/wiki/Manaus"
8,1963726,"4106902","Curitiba","https://pt.wikipedia.org/wiki/Curitiba"
9,1661017,"2611606","Recife","https://pt.wikipedia.org/wiki/Recife"
10,1555626,"5208707","Goiânia","https://pt.wikipedia.org/wiki/Goi%C3%A2nia"
11,1506420,"1501402","Belém","https://pt.wikipedia.org/wiki/Bel%C3%A9m_(Par%C3%A1)"
12,1492530,"4314902","Porto Alegre","https://pt.wikipedia.org/wiki/Porto_Alegre"
13,1404694,"3518800","Guarulhos","https://pt.wikipedia.org/wiki/Guarulhos"
14,1223237,"3509502","Campinas","https://pt.wikipedia.org/wiki/Campinas"
15,1115932,"2111300","São Luís","https://pt.wikipedia.org/wiki/S%C3%A3o_Lu%C3%ADs_(Maranh%C3%A3o)"
16,1098357,"3304904","São Gonçalo","https://pt.wikipedia.org/wiki/S%C3%A3o_Gon%C3%A7alo_(Rio_de_Janeiro)"
17,1031597,"2704302","Maceió","https://pt.wikipedia.org/wiki/Macei%C3%B3"
18,929449,"3301702","Duque de Caxias","https://pt.wikipedia.org/wiki/Duque_de_Caxias_(Rio_de_Janeiro)"
19,916001,"5002704","Campo Grande","https://pt.wikipedia.org/wiki/Campo_Grande_(Mato_Grosso_do_Sul)"
20,896708,"2408102","Natal","https://pt.wikipedia.org/wiki/Natal_(Rio_Grande_do_Norte)"
21,871126,"2211001","Teresina","https://pt.wikipedia.org/wiki/Teresina"
22,849874,"3548708","São Bernardo do Campo","https://pt.wikipedia.org/wiki/S%C3%A3o_Bernardo_do_Campo"
23,825796,"2507507","João Pessoa","https://pt.wikipedia.org/wiki/Jo%C3%A3o_Pessoa"
24,825388,"3303500","Nova Iguaçu","https://pt.wikipedia.org/wiki/Nova_Igua%C3%A7u"
25,737310,"3549904","São José dos Campos","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_dos_Campos"
26,723889,"3547809","Santo André","https://pt.wikipedia.org/wiki/Santo_Andr%C3%A9_(S%C3%A3o_Paulo)"
27,720116,"3543402","Ribeirão Preto","https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_Preto"
28,711330,"2607901","Jaboatão dos Guararapes","https://pt.wikipedia.org/wiki/Jaboat%C3%A3o_dos_Guararapes"
29,706597,"3170206","Uberlândia","https://pt.wikipedia.org/wiki/Uberl%C3%A2ndia"
30,701428,"3534401","Osasco","https://pt.wikipedia.org/wiki/Osasco"
31,695328,"3552205","Sorocaba","https://pt.wikipedia.org/wiki/Sorocaba"
32,673849,"3118601","Contagem","https://pt.wikipedia.org/wiki/Contagem"
33,672614,"2800308","Aracaju","https://pt.wikipedia.org/wiki/Aracaju"
34,624107,"2910800","Feira de Santana","https://pt.wikipedia.org/wiki/Feira_de_Santana"
35,623614,"5103403","Cuiabá","https://pt.wikipedia.org/wiki/Cuiab%C3%A1"
36,604708,"4209102","Joinville","https://pt.wikipedia.org/wiki/Joinville"
37,601844,"5201405","Aparecida de Goiânia","https://pt.wikipedia.org/wiki/Aparecida_de_Goi%C3%A2nia"
38,580870,"4113700","Londrina","https://pt.wikipedia.org/wiki/Londrina"
39,577532,"3136702","Juiz de Fora","https://pt.wikipedia.org/wiki/Juiz_de_Fora"
40,548952,"1100205","Porto Velho","https://pt.wikipedia.org/wiki/Porto_Velho"
41,540410,"1500800","Ananindeua","https://pt.wikipedia.org/wiki/Ananindeua"
42,536765,"3205002","Serra","https://pt.wikipedia.org/wiki/Serra_(Esp%C3%ADrito_Santo)"
43,523716,"4305108","Caxias do Sul","https://pt.wikipedia.org/wiki/Caxias_do_Sul"
44,522357,"1600303","Macapá","https://pt.wikipedia.org/wiki/Macap%C3%A1"
45,516981,"3303302","Niterói","https://pt.wikipedia.org/wiki/Niter%C3%B3i"
46,516524,"4205407","Florianópolis","https://pt.wikipedia.org/wiki/Florian%C3%B3polis"
47,515239,"3300456","Belford Roxo","https://pt.wikipedia.org/wiki/Belford_Roxo"
48,514643,"3301009","Campos dos Goytacazes","https://pt.wikipedia.org/wiki/Campos_dos_Goytacazes"
49,508655,"3205200","Vila Velha","https://pt.wikipedia.org/wiki/Vila_Velha"
50,481725,"3529401","Mauá","https://pt.wikipedia.org/wiki/Mau%C3%A1"
51,473385,"3305109","São João de Meriti","https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_de_Meriti"
52,469173,"3549805","São José do Rio Preto","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Rio_Preto"
53,455587,"3530607","Mogi das Cruzes","https://pt.wikipedia.org/wiki/Mogi_das_Cruzes"
54,450024,"3106705","Betim","https://pt.wikipedia.org/wiki/Betim"
55,436591,"1400100","Boa Vista","https://pt.wikipedia.org/wiki/Boa_Vista_(Roraima)"
56,436472,"4115200","Maringá","https://pt.wikipedia.org/wiki/Maring%C3%A1"
57,433991,"3548500","Santos","https://pt.wikipedia.org/wiki/Santos"
58,429550,"3513801","Diadema","https://pt.wikipedia.org/wiki/Diadema"
59,426935,"3525904","Jundiaí","https://pt.wikipedia.org/wiki/Jundia%C3%AD"
60,419452,"1200401","Rio Branco","https://pt.wikipedia.org/wiki/Rio_Branco"
61,417478,"3143302","Montes Claros","https://pt.wikipedia.org/wiki/Montes_Claros"
62,413830,"2504009","Campina Grande","https://pt.wikipedia.org/wiki/Campina_Grande"
63,410275,"3538709","Piracicaba","https://pt.wikipedia.org/wiki/Piracicaba"
64,405375,"3510609","Carapicuíba","https://pt.wikipedia.org/wiki/Carapicu%C3%ADba"
65,396526,"5201108","Anápolis","https://pt.wikipedia.org/wiki/An%C3%A1polis"
66,393734,"2609600","Olinda","https://pt.wikipedia.org/wiki/Olinda"
67,386495,"3201308","Cariacica","https://pt.wikipedia.org/wiki/Cariacica"
68,381706,"3506003","Bauru","https://pt.wikipedia.org/wiki/Bauru"
69,379082,"3523107","Itaquaquecetuba","https://pt.wikipedia.org/wiki/Itaquaquecetuba"
70,370839,"3551009","São Vicente","https://pt.wikipedia.org/wiki/S%C3%A3o_Vicente_(S%C3%A3o_Paulo)"
71,369534,"3205309","Vitória","https://pt.wikipedia.org/wiki/Vit%C3%B3ria_(Esp%C3%ADrito_Santo)"
72,369343,"2604106","Caruaru","https://pt.wikipedia.org/wiki/Caruaru"
73,368918,"2303709","Caucaia","https://pt.wikipedia.org/wiki/Caucaia"
74,366418,"4202404","Blumenau","https://pt.wikipedia.org/wiki/Blumenau"
75,359372,"2611101","Petrolina","https://pt.wikipedia.org/wiki/Petrolina"
76,358838,"4119905","Ponta Grossa","https://pt.wikipedia.org/wiki/Ponta_Grossa"
77,358539,"3516200","Franca","https://pt.wikipedia.org/wiki/Franca"
78,349728,"4304606","Canoas","https://pt.wikipedia.org/wiki/Canoas"
79,343826,"4314407","Pelotas","https://pt.wikipedia.org/wiki/Pelotas"
80,343643,"2933307","Vitória da Conquista","https://pt.wikipedia.org/wiki/Vit%C3%B3ria_da_Conquista"
81,341415,"3154606","Ribeirão das Neves","https://pt.wikipedia.org/wiki/Ribeir%C3%A3o_das_Neves"
82,340277,"3170107","Uberaba","https://pt.wikipedia.org/wiki/Uberaba"
83,336919,"2610707","Paulista","https://pt.wikipedia.org/wiki/Paulista_(Pernambuco)"
84,336454,"3541000","Praia Grande","https://pt.wikipedia.org/wiki/Praia_Grande_(S%C3%A3o_Paulo)"
85,336073,"4104808","Cascavel","https://pt.wikipedia.org/wiki/Cascavel_(Paran%C3%A1)"
86,334620,"4125506","São José dos Pinhais","https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_dos_Pinhais"
87,324977,"3518701","Guarujá","https://pt.wikipedia.org/wiki/Guaruj%C3%A1"
88,320820,"3554102","Taubaté","https://pt.wikipedia.org/wiki/Taubat%C3%A9"
89,313349,"1721000","Palmas","https://pt.wikipedia.org/wiki/Palmas"
90,310783,"3526902","Limeira","https://pt.wikipedia.org/wiki/Limeira"
